name,ap_test_score,mean_ap_train_score,mean_ap_validate_score,f1_test_score,recall_test_score,precision_test_score,accuracy_test_score
RandomForest_RandomOverSampler_None,0.05487463306766226,0.6409682084612883,0.052145759503006116,0.06557377049180328,0.044444444444444446,0.125,0.9782387375922627
RandomForest_RandomOverSampler_FDR_0.005,0.054622582903110485,0.32032446157479016,0.05197087316947557,0.041884816753926704,0.02962962962962963,0.07142857142857142,0.9767116314583864
RandomForest_Baseline_SFM_GB_1.5mean,0.05805488761202987,0.7355917914824801,0.0516897493278551,0.01282051282051282,0.007407407407407408,0.047619047619047616,0.9804021379485874
RandomForest_RandomOverSampler_FDR_0.25,0.0466800374063296,0.6305612439494963,0.05100945226831346,0.023809523809523808,0.014814814814814815,0.06060606060606061,0.9791295495036905
RandomForest_Baseline_SFM_GB_mean,0.06134890155977724,0.6765725368594073,0.05088417310333103,0.0,0.0,0.0,0.9820565029269535
RandomForest_Baseline_FDR_0.01,0.05594474723371651,0.5543053982027302,0.05073193504662095,0.02702702702702703,0.014814814814814815,0.15384615384615385,0.9816747263934843
RandomForest_Baseline_FDR_0.05,0.05228300623484165,0.6978028698154193,0.050282954579782976,0.0,0.0,0.0,0.9821837617714431
RandomForest_Baseline_None,0.06050483264258133,0.6779793277590315,0.04960459074216604,0.013605442176870748,0.007407407407407408,0.08333333333333333,0.9815474675489947
RandomForest_RandomOverSampler_SFM_GB_mean,0.050081478915284874,0.5996210437693252,0.04883390445584503,0.04419889502762431,0.02962962962962963,0.08695652173913043,0.9779842199032833
RandomForest_RandomOverSampler_FDR_0.05,0.05321276590255055,0.6658188348513172,0.04854556113342284,0.07734806629834254,0.05185185185185185,0.15217391304347827,0.9787477729702214
RandomForest_Baseline_FDR_0.25,0.05968589761358929,0.6963976666889868,0.04851171103795378,0.05442176870748299,0.02962962962962963,0.3333333333333333,0.9823110206159328
RandomForest_Baseline_FDR_0.5,0.051545826950718965,0.6870426917769571,0.04792179758480286,0.0136986301369863,0.007407407407407408,0.09090909090909091,0.9816747263934843
RandomForest_RandomOverSampler_SFM_GB_1.5mean,0.052332872537641295,0.5836427825030739,0.04488441924975074,0.0449438202247191,0.02962962962962963,0.09302325581395349,0.9783659964367524
RandomForest_RandomOverSampler_FDR_0.5,0.049032603911667846,0.6568823019455684,0.0444198060038342,0.0546448087431694,0.037037037037037035,0.10416666666666667,0.9779842199032833
